err.hat,errxy,n,p,prop,err,strat
0.75,0.4247,10,10,0.5,0.4618155,sdt
0.25,0.4585,10,10,0.5,0.4618155,sdt
0.5,0.4645,10,10,0.5,0.4618155,sdt
0.5,0.46405,10,10,0.5,0.4618155,sdt
0.75,0.494,10,10,0.5,0.4618155,sdt
0.5,0.51805,10,10,0.5,0.4618155,sdt
0,0.453,10,10,0.5,0.4618155,sdt
0.25,0.44815,10,10,0.5,0.4618155,sdt
0,0.42105,10,10,0.5,0.4618155,sdt
0.5,0.4786,10,10,0.5,0.4618155,sdt
0.5,0.4732,10,10,0.5,0.4618155,sdt
0.5,0.51615,10,10,0.5,0.4618155,sdt
0.25,0.46395,10,10,0.5,0.4618155,sdt
1,0.42755,10,10,0.5,0.4618155,sdt
0.5,0.4291,10,10,0.5,0.4618155,sdt
0.5,0.383,10,10,0.5,0.4618155,sdt
0.5,0.49115,10,10,0.5,0.4618155,sdt
0.25,0.369,10,10,0.5,0.4618155,sdt
0.5,0.4529,10,10,0.5,0.4618155,sdt
0.5,0.5255,10,10,0.5,0.4618155,sdt
0.75,0.492,10,10,0.5,0.4618155,sdt
0.25,0.40145,10,10,0.5,0.4618155,sdt
0.5,0.47125,10,10,0.5,0.4618155,sdt
0.5,0.49155,10,10,0.5,0.4618155,sdt
0.25,0.41,10,10,0.5,0.4618155,sdt
0.25,0.39125,10,10,0.5,0.4618155,sdt
0.5,0.4549,10,10,0.5,0.4618155,sdt
0.5,0.51475,10,10,0.5,0.4618155,sdt
0.5,0.46725,10,10,0.5,0.4618155,sdt
0.75,0.5015,10,10,0.5,0.4618155,sdt
0.5,0.442,10,10,0.5,0.4618155,sdt
1,0.5551,10,10,0.5,0.4618155,sdt
1,0.4374,10,10,0.5,0.4618155,sdt
0.5,0.5582,10,10,0.5,0.4618155,sdt
0.75,0.4367,10,10,0.5,0.4618155,sdt
0.5,0.4495,10,10,0.5,0.4618155,sdt
0.25,0.50715,10,10,0.5,0.4618155,sdt
0.5,0.4195,10,10,0.5,0.4618155,sdt
0,0.4504,10,10,0.5,0.4618155,sdt
0.75,0.4516,10,10,0.5,0.4618155,sdt
0.25,0.45485,10,10,0.5,0.4618155,sdt
0.5,0.5014,10,10,0.5,0.4618155,sdt
0.75,0.5106,10,10,0.5,0.4618155,sdt
0,0.39295,10,10,0.5,0.4618155,sdt
0.5,0.4493,10,10,0.5,0.4618155,sdt
0.5,0.47235,10,10,0.5,0.4618155,sdt
0.75,0.4993,10,10,0.5,0.4618155,sdt
0.5,0.42885,10,10,0.5,0.4618155,sdt
1,0.5658,10,10,0.5,0.4618155,sdt
0.5,0.4984,10,10,0.5,0.4618155,sdt
0.5,0.45805,10,10,0.5,0.4618155,sdt
0.75,0.49745,10,10,0.5,0.4618155,sdt
0.75,0.55015,10,10,0.5,0.4618155,sdt
0.5,0.4357,10,10,0.5,0.4618155,sdt
0.25,0.44655,10,10,0.5,0.4618155,sdt
0.25,0.42315,10,10,0.5,0.4618155,sdt
0.75,0.44495,10,10,0.5,0.4618155,sdt
0.75,0.50435,10,10,0.5,0.4618155,sdt
0.5,0.44275,10,10,0.5,0.4618155,sdt
0.25,0.46375,10,10,0.5,0.4618155,sdt
0.25,0.4633,10,10,0.5,0.4618155,sdt
0.75,0.42585,10,10,0.5,0.4618155,sdt
0.25,0.46165,10,10,0.5,0.4618155,sdt
0,0.42825,10,10,0.5,0.4618155,sdt
0.25,0.48985,10,10,0.5,0.4618155,sdt
0.75,0.44805,10,10,0.5,0.4618155,sdt
0.5,0.4822,10,10,0.5,0.4618155,sdt
0.75,0.3982,10,10,0.5,0.4618155,sdt
0,0.39755,10,10,0.5,0.4618155,sdt
0.25,0.46925,10,10,0.5,0.4618155,sdt
0.25,0.46715,10,10,0.5,0.4618155,sdt
0.25,0.4388,10,10,0.5,0.4618155,sdt
0.75,0.40695,10,10,0.5,0.4618155,sdt
0.25,0.439,10,10,0.5,0.4618155,sdt
0.5,0.4708,10,10,0.5,0.4618155,sdt
0,0.45115,10,10,0.5,0.4618155,sdt
1,0.46665,10,10,0.5,0.4618155,sdt
0.5,0.4058,10,10,0.5,0.4618155,sdt
0.75,0.4472,10,10,0.5,0.4618155,sdt
0.5,0.4707,10,10,0.5,0.4618155,sdt
0.5,0.42075,10,10,0.5,0.4618155,sdt
0.5,0.43035,10,10,0.5,0.4618155,sdt
0.25,0.5089,10,10,0.5,0.4618155,sdt
0.5,0.4096,10,10,0.5,0.4618155,sdt
0.5,0.5219,10,10,0.5,0.4618155,sdt
0.5,0.41645,10,10,0.5,0.4618155,sdt
0.5,0.40105,10,10,0.5,0.4618155,sdt
0.5,0.3886,10,10,0.5,0.4618155,sdt
1,0.50695,10,10,0.5,0.4618155,sdt
0.5,0.4582,10,10,0.5,0.4618155,sdt
0.75,0.45815,10,10,0.5,0.4618155,sdt
0.5,0.4907,10,10,0.5,0.4618155,sdt
0.5,0.424,10,10,0.5,0.4618155,sdt
0.5,0.4355,10,10,0.5,0.4618155,sdt
1,0.5069,10,10,0.5,0.4618155,sdt
0.25,0.45845,10,10,0.5,0.4618155,sdt
0.5,0.4335,10,10,0.5,0.4618155,sdt
0.5,0.44625,10,10,0.5,0.4618155,sdt
0.75,0.3897,10,10,0.5,0.4618155,sdt
1,0.5022,10,10,0.5,0.4618155,sdt
0.5,0.4039,10,10,0.5,0.4618155,sdt
0.75,0.53215,10,10,0.5,0.4618155,sdt
0.25,0.5561,10,10,0.5,0.4618155,sdt
0.5,0.49335,10,10,0.5,0.4618155,sdt
0.5,0.4328,10,10,0.5,0.4618155,sdt
0.5,0.46545,10,10,0.5,0.4618155,sdt
0.5,0.4375,10,10,0.5,0.4618155,sdt
0.25,0.41195,10,10,0.5,0.4618155,sdt
0,0.4646,10,10,0.5,0.4618155,sdt
0.5,0.45695,10,10,0.5,0.4618155,sdt
0.5,0.44375,10,10,0.5,0.4618155,sdt
0.25,0.45655,10,10,0.5,0.4618155,sdt
0.25,0.49405,10,10,0.5,0.4618155,sdt
0.25,0.44125,10,10,0.5,0.4618155,sdt
0.25,0.47605,10,10,0.5,0.4618155,sdt
0,0.47805,10,10,0.5,0.4618155,sdt
0.25,0.4959,10,10,0.5,0.4618155,sdt
0.25,0.4236,10,10,0.5,0.4618155,sdt
0.5,0.48935,10,10,0.5,0.4618155,sdt
0.25,0.49235,10,10,0.5,0.4618155,sdt
0.75,0.47715,10,10,0.5,0.4618155,sdt
0.75,0.4948,10,10,0.5,0.4618155,sdt
0.5,0.4967,10,10,0.5,0.4618155,sdt
0,0.47135,10,10,0.5,0.4618155,sdt
0.5,0.4605,10,10,0.5,0.4618155,sdt
0,0.4316,10,10,0.5,0.4618155,sdt
0.75,0.4724,10,10,0.5,0.4618155,sdt
0.25,0.48485,10,10,0.5,0.4618155,sdt
0.5,0.4098,10,10,0.5,0.4618155,sdt
0.5,0.59905,10,10,0.5,0.4618155,sdt
0.75,0.5045,10,10,0.5,0.4618155,sdt
0.5,0.48305,10,10,0.5,0.4618155,sdt
0.5,0.49015,10,10,0.5,0.4618155,sdt
0.5,0.55125,10,10,0.5,0.4618155,sdt
0.75,0.5671,10,10,0.5,0.4618155,sdt
0.5,0.53045,10,10,0.5,0.4618155,sdt
0,0.4684,10,10,0.5,0.4618155,sdt
0.5,0.4998,10,10,0.5,0.4618155,sdt
0.5,0.4195,10,10,0.5,0.4618155,sdt
0.5,0.4441,10,10,0.5,0.4618155,sdt
0.5,0.5457,10,10,0.5,0.4618155,sdt
0.5,0.41285,10,10,0.5,0.4618155,sdt
0.75,0.4521,10,10,0.5,0.4618155,sdt
0.5,0.3941,10,10,0.5,0.4618155,sdt
0.5,0.4693,10,10,0.5,0.4618155,sdt
0.75,0.54990000000000006,10,10,0.5,0.4618155,sdt
0.25,0.42295,10,10,0.5,0.4618155,sdt
0.5,0.5475,10,10,0.5,0.4618155,sdt
0,0.5032,10,10,0.5,0.4618155,sdt
0.75,0.46705,10,10,0.5,0.4618155,sdt
0.25,0.4505,10,10,0.5,0.4618155,sdt
0,0.46625,10,10,0.5,0.4618155,sdt
0.5,0.48735,10,10,0.5,0.4618155,sdt
0.75,0.4792,10,10,0.5,0.4618155,sdt
0.75,0.4003,10,10,0.5,0.4618155,sdt
0.25,0.42975,10,10,0.5,0.4618155,sdt
0.5,0.4776,10,10,0.5,0.4618155,sdt
0.5,0.4881,10,10,0.5,0.4618155,sdt
0.5,0.4482,10,10,0.5,0.4618155,sdt
0,0.4745,10,10,0.5,0.4618155,sdt
0.75,0.5071,10,10,0.5,0.4618155,sdt
0,0.38635,10,10,0.5,0.4618155,sdt
0.25,0.4961,10,10,0.5,0.4618155,sdt
0.5,0.40005,10,10,0.5,0.4618155,sdt
0.25,0.43915,10,10,0.5,0.4618155,sdt
0.5,0.44665,10,10,0.5,0.4618155,sdt
0.75,0.47585,10,10,0.5,0.4618155,sdt
0.75,0.51345,10,10,0.5,0.4618155,sdt
0.25,0.50145,10,10,0.5,0.4618155,sdt
0.25,0.4103,10,10,0.5,0.4618155,sdt
0.5,0.46875,10,10,0.5,0.4618155,sdt
0,0.4772,10,10,0.5,0.4618155,sdt
0.25,0.42955,10,10,0.5,0.4618155,sdt
0,0.38825,10,10,0.5,0.4618155,sdt
0.25,0.46265,10,10,0.5,0.4618155,sdt
0.25,0.4457,10,10,0.5,0.4618155,sdt
0.75,0.45725,10,10,0.5,0.4618155,sdt
0,0.4369,10,10,0.5,0.4618155,sdt
0.25,0.44085,10,10,0.5,0.4618155,sdt
0.5,0.4357,10,10,0.5,0.4618155,sdt
0.25,0.48715,10,10,0.5,0.4618155,sdt
0.5,0.4918,10,10,0.5,0.4618155,sdt
