"","err.hat","fpr.hat","fnr.hat","errxy","errxy_fpr","errxy_fnr","n","p","prop","err","err_fpr","err_fnr"
"103",0.2,0.12,0.28,0.13065,0.121761392729135,0.1424,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"104",0.32,0.36,0.28,0.1366,0.159291205700356,0.1033,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"105",0.34,0.32,0.36,0.0979,0.116682554814109,0.0734,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"106",0.12,0.12,0.12,0.0921,0.0457683741648107,0.1431,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"107",0.22,0.24,0.2,0.12535,0.13972497355515,0.1054,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"108",0.36,0.2,0.52,0.17995,0.212418007008716,0.1235,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"109",0.2,0.16,0.24,0.14155,0.166465060016749,0.1042,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"110",0.2,0.24,0.16,0.10975,0.13915857605178,0.069,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"111",0.16,0.16,0.16,0.1177,0.0574206992359342,0.1858,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"112",0.24,0.2,0.28,0.1593,0.174904580152672,0.1353,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
