err.hat,errxy,n,p,prop,mu2,rep_numb,err
0.5,0.19225,25,10,0.5,0.75,88,0.09509355882352948
0.20833333333333337,0.18145,25,10,0.5,0.75,89,0.09509355882352948
0.20833333333333337,0.23965,25,10,0.5,0.75,90,0.09509355882352948
0.20833333333333337,0.2067,25,10,0.5,0.75,91,0.09509355882352948
0.16666666666666663,0.20015,25,10,0.5,0.75,92,0.09509355882352948
0.33333333333333337,0.2121,25,10,0.5,0.75,93,0.09509355882352948
0.375,0.2786,25,10,0.5,0.75,94,0.09509355882352948
0.25,0.1963,25,10,0.5,0.75,95,0.09509355882352948
0.12499999999999989,0.2046,25,10,0.5,0.75,96,0.09509355882352948
0.29166666666666674,0.19525,25,10,0.5,0.75,97,0.09509355882352948
0.41666666666666663,0.21215,25,10,0.5,0.75,98,0.09509355882352948
0.33333333333333337,0.16585,25,10,0.5,0.75,99,0.09509355882352948
0.29166666666666663,0.24315,25,10,0.5,0.75,100,0.09509355882352948
0.2387820512820512,0.18905,50,10,0.5,0.75,1,0.09509355882352948
0.15705128205128205,0.1521,50,10,0.5,0.75,2,0.09509355882352948
0.1785714285714286,0.2081,50,10,0.5,0.75,3,0.09509355882352948
